Country,iso_code,date,Continent,total_vaccinations,people_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,daily_vaccinations_per_million
Argentina,ARG,2021-03-10,South America,1774438,1424984,84735,3.93,3.15,1875
Australia,AUS,2021-03-10,Oceania,106200,106200,7909,0.42,0.42,310
Austria,AUT,2021-03-10,Europe,903377,642470,23797,10.03,7.13,2642
Azerbaijan,AZE,2021-03-10,Europe,428635,428635,13046,4.23,4.23,1287
Belgium,BEL,2021-03-10,Europe,1092068,716619,25422,9.42,6.18,2194
Bolivia,BOL,2021-03-10,South America,126889,117011,15289,1.09,1.00,1310
Brazil,BRA,2021-03-10,South America,10362487,7851531,155024,4.88,3.69,729
Cambodia,KHM,2021-03-10,Asia,109854,109854,9849,0.66,0.66,589
Canada,CAN,2021-03-10,North America,2621289,2037806,75656,6.95,5.40,2005
Colombia,COL,2021-03-10,South America,480250,,41253,0.94,,811
Czechia,CZE,2021-03-10,Europe,964037,681442,30813,9.00,6.36,2877
Denmark,DNK,2021-03-10,Europe,797481,572742,18598,13.77,9.89,3211
Finland,FIN,2021-03-10,Europe,600476,515218,16122,10.84,9.30,2910
France,FRA,2021-03-10,Europe,6427037,4337343,201468,9.43,6.36,2956
Germany,DEU,2021-03-10,Europe,8490328,5805579,226790,10.13,6.93,2707
Hong Kong,HKG,2021-03-10,Asia,130500,130500,11243,1.74,1.74,1500
Hungary,HUN,2021-03-10,Europe,1476985,1149557,60627,15.29,11.90,6276
India,IND,2021-03-10,Asia,25685011,21034481,1295566,1.86,1.52,939
Indonesia,IDN,2021-03-10,Asia,4837576,3574698,207318,1.77,1.31,758
Ireland,IRL,2021-03-10,Europe,570391,409662,13305,11.55,8.30,2695
Israel,ISR,2021-03-10,Asia,9022339,5015623,85207,104.24,57.95,9844
Italy,ITA,2021-03-10,Europe,6071490,4258870,176766,10.04,7.04,2924
Japan,JPN,2021-03-10,Asia,148950,148915,15950,0.12,0.12,126
Latvia,LVA,2021-03-10,Europe,88939,70847,2580,4.72,3.76,1368
Lebanon,LBN,2021-03-10,Asia,87216,75341,4662,1.28,1.10,683
Macao,MAC,2021-03-10,Asia,24040,24040,996,3.70,3.70,1534
Malaysia,MYS,2021-03-10,Asia,223923,223923,20512,0.69,0.69,634
New Zealand,NZL,2021-03-10,Oceania,18000,18000,1224,0.37,0.37,254
Norway,NOR,2021-03-10,Europe,667576,434878,16129,12.31,8.02,2975
Peru,PER,2021-03-10,South America,464324,373108,17719,1.41,1.13,537
Philippines,PHL,2021-03-10,Asia,114500,114500,15202,0.10,0.10,139
Portugal,PRT,2021-03-10,Europe,1055085,757663,22036,10.35,7.43,2161
Qatar,QAT,2021-03-10,Asia,380000,,13857,13.19,,4810
South Africa,ZAF,2021-03-10,Africa,128887,128887,6474,0.22,0.22,109
South Korea,KOR,2021-03-10,Asia,500635,500635,49459,0.98,0.98,965
Spain,ESP,2021-03-10,Europe,5172106,3668848,134716,11.06,7.85,2881
Switzerland,CHE,2021-03-10,Europe,1035374,666893,21801,11.96,7.71,2519
Thailand,THA,2021-03-10,Asia,33621,33621,3295,0.05,0.05,47
Turkey,TUR,2021-03-10,Europe,10360283,7745480,148962,12.28,9.18,1766
Ukraine,UKR,2021-03-10,Europe,29378,29378,2830,0.07,0.07,65
United Arab Emirates,ARE,2021-03-10,Asia,6367861,,28504,64.38,,2882
United Kingdom,GBR,2021-03-10,Europe,24405231,23053716,351257,35.95,33.96,5174
United States,USA,2021-03-10,North America,95721290,62451150,2168688,28.62,18.67,6485
Uruguay,URY,2021-03-10,South America,147544,147544,13324,4.25,4.25,3836
